x,y
-6,-0.588032
-5.995,-0.654026
-5.990,-0.718162
-5.985,-0.780557
-5.980,-0.841322
-5.975,-0.900566
-5.970,-0.958388
-5.965,-1.014885
-5.960,-1.070152
-5.955,-1.124276
-5.950,-1.177343
-5.945,-1.229438
-5.940,-1.280642
-5.935,-1.331032
-5.930,-1.380687
-5.925,-1.429682
-5.920,-1.478092
-5.915,-1.525993
-5.910,-1.573457
-5.905,-1.620559
-5.900,-1.667374
-5.895,-1.713976
-5.890,-1.760442
-5.885,-1.806849
-5.880,-1.853278
-5.875,-1.899810
-5.870,-1.946529
-5.865,-1.993524
-5.860,-2.040886
-5.855,-2.088712
-5.850,-2.137103
-5.845,-2.186167
-5.840,-2.236017
-5.835,-2.286775
-5.830,-2.338571
-5.825,-2.391545
-5.820,-2.445849
-5.815,-2.501647
-5.810,-2.559118
-5.805,-2.618457
-5.800,-2.679879
-5.795,-2.743620
-5.790,-2.809943
-5.785,-2.879137
-5.780,-2.951528
-5.775,-3.027478
-5.770,-3.107397
-5.765,-3.191746
-5.760,-3.281050
-5.755,-3.375909
-5.750,-3.477009
-5.745,-3.585144
-5.740,-3.701232
-5.735,-3.826347
-5.730,-3.961751
-5.725,-4.108938
-5.720,-4.269689
-5.715,-4.446148
-5.710,-4.640915
-5.705,-4.857183
-5.700,-5.098910
-5.695,-5.371064
-5.690,-5.679977
-5.685,-6.033833
-5.680,-6.443415
-5.675,-6.923217
-5.670,-7.493195
-5.665,-8.181608
-5.660,-9.029840
-5.655,-10.101022
-5.650,-11.496482
-5.645,-13.389782
-5.640,-16.105047
-5.635,-20.325462
-5.630,-27.780898
-5.625,-44.496831
-5.620,-115.956676
-5.615,179.841614
-5.610,49.784477
-5.605,28.603430
-5.600,19.924751
-5.595,15.203272
-5.590,12.236288
-5.585,10.200119
-5.580,8.716966
-5.575,7.589168
-5.570,6.703269
-5.565,5.989496
-5.560,5.402580
-5.555,4.911868
-5.550,4.495863
-5.545,4.139045
-5.540,3.829927
-5.535,3.559824
-5.530,3.322052
-5.525,3.111377
-5.520,2.923647
-5.515,2.755525
-5.510,2.604295
-5.505,2.467730
-5.500,2.343981
-5.495,2.231503
-5.490,2.128996
-5.485,2.035355
-5.480,1.949637
-5.475,1.871033
-5.470,1.798844
-5.465,1.732461
-5.460,1.671356
-5.455,1.615064
-5.450,1.563176
-5.445,1.515333
-5.440,1.471213
-5.435,1.430534
-5.430,1.393040
-5.425,1.358505
-5.420,1.326725
-5.415,1.297516
-5.410,1.270713
-5.405,1.246167
-5.400,1.223741
-5.395,1.203313
-5.390,1.184771
-5.385,1.168013
-5.380,1.152945
-5.375,1.139483
-5.370,1.127549
-5.365,1.117072
-5.360,1.107985
-5.355,1.100229
-5.350,1.093749
-5.345,1.088494
-5.340,1.084418
-5.335,1.081476
-5.330,1.079630
-5.325,1.078844
-5.320,1.079083
-5.315,1.080316
-5.310,1.082517
-5.305,1.085657
-5.300,1.089715
-5.295,1.094666
-5.290,1.100493
-5.285,1.107175
-5.280,1.114698
-5.275,1.123045
-5.270,1.132203
-5.265,1.142160
-5.260,1.152905
-5.255,1.164430
-5.250,1.176724
-5.245,1.189782
-5.240,1.203598
-5.235,1.218166
-5.230,1.233483
-5.225,1.249546
-5.220,1.266353
-5.215,1.283904
-5.210,1.302198
-5.205,1.321238
-5.200,1.341026
-5.195,1.361564
-5.190,1.382857
-5.185,1.404910
-5.180,1.427729
-5.175,1.451321
-5.170,1.475695
-5.165,1.500860
-5.160,1.526825
-5.155,1.553603
-5.150,1.581205
-5.145,1.609646
-5.140,1.638940
-5.135,1.669102
-5.130,1.700151
-5.125,1.732105
-5.120,1.764983
-5.115,1.798807
-5.110,1.833601
-5.105,1.869388
-5.100,1.906195
-5.095,1.944049
-5.090,1.982981
-5.085,2.023023
-5.080,2.064207
-5.075,2.106571
-5.070,2.150152
-5.065,2.194993
-5.060,2.241135
-5.055,2.288627
-5.050,2.337517
-5.045,2.387858
-5.040,2.439707
-5.035,2.493124
-5.030,2.548173
-5.025,2.604923
-5.020,2.663447
-5.015,2.723823
-5.010,2.786136
-5.005,2.850476
-5.000,2.916938
-4.995,2.985627
-4.990,3.056654
-4.985,3.130138
-4.980,3.206208
-4.975,3.285003
-4.970,3.366674
-4.965,3.451381
-4.960,3.539300
-4.955,3.630621
-4.950,3.725550
-4.945,3.824311
-4.940,3.927148
-4.935,4.034327
-4.930,4.146139
-4.925,4.262901
-4.920,4.384964
-4.915,4.512711
-4.910,4.646564
-4.905,4.786991
-4.900,4.934508
-4.895,5.089689
-4.890,5.253172
-4.885,5.425671
-4.880,5.607983
-4.875,5.801004
-4.870,6.005745
-4.865,6.223348
-4.860,6.455111
-4.855,6.702513
-4.850,6.967252
-4.845,7.251276
-4.840,7.556844
-4.835,7.886582
-4.830,8.243560
-4.825,8.631399
-4.820,9.054387
-4.815,9.517654
-4.810,10.027376
-4.805,10.591067
-4.800,11.217955
-4.795,11.919501
-4.790,12.710121
-4.785,13.608204
-4.780,14.637576
-4.775,15.829674
-4.770,17.226852
-4.765,18.887561
-4.760,20.894809
-4.755,23.370564
-4.750,26.501653
-4.745,30.589482
-4.740,36.153778
-4.735,44.173985
-4.730,56.741852
-4.725,79.266464
-4.720,131.370740
-4.715,382.986058
-4.710,-418.583039
-4.705,-135.319375
-4.700,-80.687833
-4.695,-57.466812
-4.690,-44.612096
-4.685,-36.446392
-4.680,-30.798101
-4.675,-26.657250
-4.670,-23.490390
-4.665,-20.989213
-4.660,-18.963106
-4.655,-17.287888
-4.650,-15.879184
-4.645,-14.677663
-4.640,-13.640385
-4.635,-12.735507
-4.630,-11.938916
-4.625,-11.232019
-4.620,-10.600246
-4.615,-10.032021
-4.610,-9.518027
-4.605,-9.050684
-4.600,-8.623762
-4.595,-8.232089
-4.590,-7.871340
-4.585,-7.537871
-4.580,-7.228585
-4.575,-6.940837
-4.570,-6.672356
-4.565,-6.421176
-4.560,-6.185589
-4.555,-5.964107
-4.550,-5.755423
-4.545,-5.558386
-4.540,-5.371979
-4.535,-5.195300
-4.530,-5.027545
-4.525,-4.867997
-4.520,-4.716012
-4.515,-4.571014
-4.510,-4.432479
-4.505,-4.299938
-4.500,-4.172965
-4.495,-4.051171
-4.490,-3.934205
-4.485,-3.821745
-4.480,-3.713496
-4.475,-3.609190
-4.470,-3.508579
-4.465,-3.411436
-4.460,-3.317551
-4.455,-3.226732
-4.450,-3.138800
-4.445,-3.053590
-4.440,-2.970948
-4.435,-2.890733
-4.430,-2.812811
-4.425,-2.737060
-4.420,-2.663364
-4.415,-2.591617
-4.410,-2.521718
-4.405,-2.453573
-4.400,-2.387094
-4.395,-2.322198
-4.390,-2.258808
-4.385,-2.196850
-4.380,-2.136256
-4.375,-2.076960
-4.370,-2.018902
-4.365,-1.962023
-4.360,-1.906269
-4.355,-1.851587
-4.350,-1.797928
-4.345,-1.745245
-4.340,-1.693494
-4.335,-1.642632
-4.330,-1.592618
-4.325,-1.543415
-4.320,-1.494984
-4.315,-1.447291
-4.310,-1.400301
-4.305,-1.353983
-4.300,-1.308305
-4.295,-1.263236
-4.290,-1.218748
-4.285,-1.174813
-4.280,-1.131403
-4.275,-1.088493
-4.270,-1.046056
-4.265,-1.004069
-4.260,-0.962506
-4.255,-0.921345
-4.250,-0.880561
-4.245,-0.840134
-4.240,-0.800040
-4.235,-0.760257
-4.230,-0.720764
-4.225,-0.681541
-4.220,-0.642564
-4.215,-0.603815
-4.210,-0.565271
-4.205,-0.526912
-4.200,-0.488717
-4.195,-0.450665
-4.190,-0.412735
-4.185,-0.374906
-4.180,-0.337155
-4.175,-0.299462
-4.170,-0.261804
-4.165,-0.224158
-4.160,-0.186501
-4.155,-0.148809
-4.150,-0.111059
-4.145,-0.073223
-4.140,-0.035277
-4.135,0.002806
-4.130,0.041055
-4.125,0.079499
-4.120,0.118168
-4.115,0.157095
-4.110,0.196312
-4.105,0.235856
-4.100,0.275762
-4.095,0.316070
-4.090,0.356823
-4.085,0.398063
-4.080,0.439837
-4.075,0.482196
-4.070,0.525193
-4.065,0.568883
-4.060,0.613330
-4.055,0.658597
-4.050,0.704756
-4.045,0.751883
-4.040,0.800059
-4.035,0.849376
-4.030,0.899929
-4.025,0.951824
-4.020,1.005176
-4.015,1.060112
-4.010,1.116770
-4.005,1.175301
-4.000,1.235873
-3.995,1.298672
-3.990,1.363903
-3.985,1.431794
-3.980,1.502599
-3.975,1.576603
-3.970,1.654126
-3.965,1.735528
-3.960,1.821216
-3.955,1.911652
-3.950,2.007364
-3.945,2.108955
-3.940,2.217122
-3.935,2.332668
-3.930,2.456530
-3.925,2.589804
-3.920,2.733780
-3.915,2.889991
-3.910,3.060269
-3.905,3.246822
-3.900,3.452339
-3.895,3.680126
-3.890,3.934292
-3.885,4.220013
-3.880,4.543897
-3.875,4.914524
-3.870,5.343230
-3.865,5.845320
-3.860,6.441966
-3.855,7.163319
-3.850,8.053830
-3.845,9.181869
-3.840,10.658316
-3.835,12.675681
-3.830,15.600152
-3.825,20.224525
-3.820,28.644680
-3.815,48.804470
-3.810,161.933415
-3.805,-124.376399
-3.800,-45.120959
-3.795,-27.626199
-3.790,-19.940495
-3.785,-15.619782
-3.780,-12.850673
-3.775,-10.924426
-3.770,-9.506978
-3.765,-8.420256
-3.760,-7.560646
-3.755,-6.863760
-3.750,-6.287478
-3.745,-5.803091
-3.740,-5.390353
-3.735,-5.034582
-3.730,-4.724869
-3.725,-4.452941
