x,y
-6,1.041482
-5.995,1.043013
-5.990,1.044574
-5.985,1.046166
-5.980,1.047789
-5.975,1.049444
-5.970,1.051130
-5.965,1.052848
-5.960,1.054598
-5.955,1.056380
-5.950,1.058195
-5.945,1.060043
-5.940,1.061923
-5.935,1.063837
-5.930,1.065785
-5.925,1.067766
-5.920,1.069782
-5.915,1.071832
-5.910,1.073917
-5.905,1.076037
-5.900,1.078192
-5.895,1.080383
-5.890,1.082610
-5.885,1.084874
-5.880,1.087174
-5.875,1.089511
-5.870,1.091886
-5.865,1.094299
-5.860,1.096749
-5.855,1.099238
-5.850,1.101767
-5.845,1.104334
-5.840,1.106941
-5.835,1.109589
-5.830,1.112276
-5.825,1.115005
-5.820,1.117776
-5.815,1.120588
-5.810,1.123443
-5.805,1.126340
-5.800,1.129281
-5.795,1.132265
-5.790,1.135294
-5.785,1.138367
-5.780,1.141486
-5.775,1.144651
-5.770,1.147862
-5.765,1.151120
-5.760,1.154425
-5.755,1.157779
-5.750,1.161181
-5.745,1.164632
-5.740,1.168133
-5.735,1.171685
-5.730,1.175288
-5.725,1.178943
-5.720,1.182650
-5.715,1.186410
-5.710,1.190224
-5.705,1.194093
-5.700,1.198017
-5.695,1.201997
-5.690,1.206034
-5.685,1.210128
-5.680,1.214281
-5.675,1.218492
-5.670,1.222764
-5.665,1.227097
-5.660,1.231491
-5.655,1.235948
-5.650,1.240469
-5.645,1.245054
-5.640,1.249704
-5.635,1.254421
-5.630,1.259205
-5.625,1.264057
-5.620,1.268979
-5.615,1.273971
-5.610,1.279035
-5.605,1.284171
-5.600,1.289381
-5.595,1.294666
-5.590,1.300027
-5.585,1.305466
-5.580,1.310983
-5.575,1.316580
-5.570,1.322259
-5.565,1.328019
-5.560,1.333864
-5.555,1.339794
-5.550,1.345811
-5.545,1.351916
-5.540,1.358111
-5.535,1.364397
-5.530,1.370776
-5.525,1.377249
-5.520,1.383819
-5.515,1.390486
-5.510,1.397254
-5.505,1.404122
-5.500,1.411094
-5.495,1.418172
-5.490,1.425356
-5.485,1.432650
-5.480,1.440054
-5.475,1.447573
-5.470,1.455206
-5.465,1.462957
-5.460,1.470829
-5.455,1.478822
-5.450,1.486941
-5.445,1.495186
-5.440,1.503562
-5.435,1.512069
-5.430,1.520712
-5.425,1.529492
-5.420,1.538414
-5.415,1.547479
-5.410,1.556690
-5.405,1.566051
-5.400,1.575565
-5.395,1.585235
-5.390,1.595065
-5.385,1.605058
-5.380,1.615217
-5.375,1.625547
-5.370,1.636051
-5.365,1.646733
-5.360,1.657597
-5.355,1.668648
-5.350,1.679889
-5.345,1.691325
-5.340,1.702960
-5.335,1.714800
-5.330,1.726850
-5.325,1.739113
-5.320,1.751597
-5.315,1.764305
-5.310,1.777243
-5.305,1.790418
-5.300,1.803835
-5.295,1.817501
-5.290,1.831421
-5.285,1.845603
-5.280,1.860053
-5.275,1.874778
-5.270,1.889785
-5.265,1.905083
-5.260,1.920679
-5.255,1.936582
-5.250,1.952799
-5.245,1.969340
-5.240,1.986213
-5.235,2.003429
-5.230,2.020996
-5.225,2.038926
-5.220,2.057228
-5.215,2.075915
-5.210,2.094997
-5.205,2.114486
-5.200,2.134396
-5.195,2.154738
-5.190,2.175526
-5.185,2.196776
-5.180,2.218500
-5.175,2.240715
-5.170,2.263436
-5.165,2.286681
-5.160,2.310466
-5.155,2.334810
-5.150,2.359733
-5.145,2.385253
-5.140,2.411393
-5.135,2.438173
-5.130,2.465617
-5.125,2.493749
-5.120,2.522595
-5.115,2.552180
-5.110,2.582532
-5.105,2.613682
-5.100,2.645658
-5.095,2.678495
-5.090,2.712226
-5.085,2.746887
-5.080,2.782515
-5.075,2.819151
-5.070,2.856838
-5.065,2.895619
-5.060,2.935541
-5.055,2.976656
-5.050,3.019014
-5.045,3.062674
-5.040,3.107694
-5.035,3.154137
-5.030,3.202070
-5.025,3.251566
-5.020,3.302699
-5.015,3.355552
-5.010,3.410210
-5.005,3.466766
-5.000,3.525320
-4.995,3.585977
-4.990,3.648850
-4.985,3.714063
-4.980,3.781744
-4.975,3.852037
-4.970,3.925091
-4.965,4.001073
-4.960,4.080158
-4.955,4.162539
-4.950,4.248423
-4.945,4.338037
-4.940,4.431626
-4.935,4.529458
-4.930,4.631825
-4.925,4.739048
-4.920,4.851477
-4.915,4.969497
-4.910,5.093532
-4.905,5.224052
-4.900,5.361575
-4.895,5.506675
-4.890,5.659992
-4.885,5.822242
-4.880,5.994222
-4.875,6.176830
-4.870,6.371079
-4.865,6.578111
-4.860,6.799226
-4.855,7.035906
-4.850,7.289846
-4.845,7.562999
-4.840,7.857623
-4.835,8.176345
-4.830,8.522238
-4.825,8.898922
-4.820,9.310688
-4.815,9.762665
-4.810,10.261032
-4.805,10.813302
-4.800,11.428704
-4.795,12.118702
-4.790,12.897712
-4.785,13.784124
-4.780,14.801763
-4.775,15.982069
-4.770,17.367396
-4.765,19.016196
-4.760,21.011478
-4.755,23.475211
-4.750,26.594222
-4.745,30.669917
-4.740,36.222026
-4.735,44.229992
-4.730,56.785565
-4.725,79.297831
-4.720,131.389709
-4.715,382.992579
-4.710,-418.589017
-4.705,-135.337902
-4.700,-80.718958
-4.695,-57.510583
-4.690,-44.668562
-4.685,-36.515599
-4.680,-30.880097
-4.675,-26.752081
-4.670,-23.598103
-4.665,-21.109852
-4.660,-19.096718
-4.655,-17.434517
-4.650,-16.038874
-4.645,-14.850459
-4.640,-13.826329
-4.635,-12.934644
-4.630,-12.151288
-4.625,-11.457668
-4.620,-10.839215
-4.615,-10.284352
-4.610,-9.783762
-4.605,-9.329865
-4.600,-8.916429
-4.595,-8.538283
-4.590,-8.191104
-4.585,-7.871244
-4.580,-7.575609
-4.575,-7.301553
-4.570,-7.046803
-4.565,-6.809395
-4.560,-6.587621
-4.555,-6.379992
-4.550,-6.185202
-4.545,-6.002099
-4.540,-5.829666
-4.535,-5.667002
-4.530,-5.513304
-4.525,-5.367853
-4.520,-5.230007
-4.515,-5.099187
-4.510,-4.974874
-4.505,-4.856596
-4.500,-4.743928
-4.495,-4.636481
-4.490,-4.533905
-4.485,-4.435879
-4.480,-4.342107
-4.475,-4.252322
-4.470,-4.166277
-4.465,-4.083745
-4.460,-4.004518
-4.455,-3.928402
-4.450,-3.855221
-4.445,-3.784809
-4.440,-3.717015
-4.435,-3.651696
-4.430,-3.588721
-4.425,-3.527968
-4.420,-3.469323
-4.415,-3.412680
-4.410,-3.357940
-4.405,-3.305009
-4.400,-3.253801
-4.395,-3.204235
-4.390,-3.156233
-4.385,-3.109726
-4.380,-3.064644
-4.375,-3.020925
-4.370,-2.978510
-4.365,-2.937341
-4.360,-2.897367
-4.355,-2.858536
-4.350,-2.820802
-4.345,-2.784120
-4.340,-2.748448
-4.335,-2.713745
-4.330,-2.679974
-4.325,-2.647098
-4.320,-2.615084
-4.315,-2.583898
-4.310,-2.553511
-4.305,-2.523893
-4.300,-2.495015
-4.295,-2.466852
-4.290,-2.439378
-4.285,-2.412568
-4.280,-2.386401
-4.275,-2.360853
-4.270,-2.335905
-4.265,-2.311535
-4.260,-2.287725
-4.255,-2.264457
-4.250,-2.241713
-4.245,-2.219476
-4.240,-2.197730
-4.235,-2.176460
-4.230,-2.155652
-4.225,-2.135290
-4.220,-2.115362
-4.215,-2.095854
-4.210,-2.076754
-4.205,-2.058050
-4.200,-2.039731
-4.195,-2.021785
-4.190,-2.004201
-4.185,-1.986970
-4.180,-1.970082
-4.175,-1.953527
-4.170,-1.937295
-4.165,-1.921379
-4.160,-1.905770
-4.155,-1.890459
-4.150,-1.875438
-4.145,-1.860701
-4.140,-1.846239
-4.135,-1.832045
-4.130,-1.818114
-4.125,-1.804437
-4.120,-1.791009
-4.115,-1.777823
-4.110,-1.764874
-4.105,-1.752156
-4.100,-1.739663
-4.095,-1.727390
-4.090,-1.715331
-4.085,-1.703482
-4.080,-1.691837
-4.075,-1.680392
-4.070,-1.669143
-4.065,-1.658084
-4.060,-1.647212
-4.055,-1.636522
-4.050,-1.626010
-4.045,-1.615673
-4.040,-1.605506
-4.035,-1.595505
-4.030,-1.585669
-4.025,-1.575991
-4.020,-1.566470
-4.015,-1.557103
-4.010,-1.547884
-4.005,-1.538813
-4.000,-1.529886
-3.995,-1.521099
-3.990,-1.512450
-3.985,-1.503936
-3.980,-1.495555
-3.975,-1.487304
-3.970,-1.479180
-3.965,-1.471181
-3.960,-1.463304
-3.955,-1.455548
-3.950,-1.447909
-3.945,-1.440386
-3.940,-1.432976
-3.935,-1.425678
-3.930,-1.418488
-3.925,-1.411407
-3.920,-1.404430
-3.915,-1.397557
-3.910,-1.390785
-3.905,-1.384113
-3.900,-1.377539
-3.895,-1.371061
-3.890,-1.364678
-3.885,-1.358388
-3.880,-1.352189
-3.875,-1.346080
-3.870,-1.340059
-3.865,-1.334126
-3.860,-1.328277
-3.855,-1.322513
-3.850,-1.316831
-3.845,-1.311230
-3.840,-1.305709
-3.835,-1.300267
-3.830,-1.294903
-3.825,-1.289614
-3.820,-1.284401
-3.815,-1.279261
-3.810,-1.274194
-3.805,-1.269199
-3.800,-1.264274
-3.795,-1.259419
-3.790,-1.254632
-3.785,-1.249912
-3.780,-1.245259
-3.775,-1.240671
-3.770,-1.236148
-3.765,-1.231688
-3.760,-1.227291
-3.755,-1.222955
-3.750,-1.218681
-3.745,-1.214466
-3.740,-1.210311
-3.735,-1.206214
-3.730,-1.202175
-3.725,-1.198192
-3.720,-1.194266
-3.715,-1.190395
-3.710,-1.186578
-3.705,-1.182816
-3.700,-1.179106
-3.695,-1.175449
-3.690,-1.171844
-3.685,-1.168290
-3.680,-1.164787
-3.675,-1.161333
-3.670,-1.157929
-3.665,-1.154573
-3.660,-1.151265
-3.655,-1.148005
-3.650,-1.144792
