x,y
-6,3.578900
-5.995,3.518490
-5.990,3.460171
-5.985,3.403837
-5.980,3.349391
-5.975,3.296740
-5.970,3.245799
-5.965,3.196487
-5.960,3.148728
-5.955,3.102452
-5.950,3.057591
-5.945,3.014084
-5.940,2.971871
-5.935,2.930896
-5.930,2.891107
-5.925,2.852454
-5.920,2.814891
-5.915,2.778372
-5.910,2.742857
-5.905,2.708305
-5.900,2.674679
-5.895,2.641943
-5.890,2.610062
-5.885,2.579006
-5.880,2.548743
-5.875,2.519245
-5.870,2.490483
-5.865,2.462431
-5.860,2.435064
-5.855,2.408358
-5.850,2.382291
-5.845,2.356840
-5.840,2.331985
-5.835,2.307706
-5.830,2.283984
-5.825,2.260800
-5.820,2.238138
-5.815,2.215980
-5.810,2.194311
-5.805,2.173116
-5.800,2.152379
-5.795,2.132087
-5.790,2.112227
-5.785,2.092785
-5.780,2.073749
-5.775,2.055107
-5.770,2.036848
-5.765,2.018960
-5.760,2.001433
-5.755,1.984258
-5.750,1.967423
-5.745,1.950920
-5.740,1.934740
-5.735,1.918873
-5.730,1.903311
-5.725,1.888047
-5.720,1.873072
-5.715,1.858379
-5.710,1.843960
-5.705,1.829809
-5.700,1.815918
-5.695,1.802282
-5.690,1.788893
-5.685,1.775745
-5.680,1.762833
-5.675,1.750151
-5.670,1.737694
-5.665,1.725455
-5.660,1.713430
-5.655,1.701614
-5.650,1.690001
-5.645,1.678588
-5.640,1.667369
-5.635,1.656340
-5.630,1.645497
-5.625,1.634836
-5.620,1.624352
-5.615,1.614042
-5.610,1.603902
-5.605,1.593928
-5.600,1.584117
-5.595,1.574465
-5.590,1.564968
-5.585,1.555624
-5.580,1.546430
-5.575,1.537382
-5.570,1.528477
-5.565,1.519712
-5.560,1.511085
-5.555,1.502593
-5.550,1.494233
-5.545,1.486002
-5.540,1.477898
-5.535,1.469918
-5.530,1.462061
-5.525,1.454323
-5.520,1.446703
-5.515,1.439198
-5.510,1.431806
-5.505,1.424525
-5.500,1.417353
-5.495,1.410288
-5.490,1.403328
-5.485,1.396471
-5.480,1.389716
-5.475,1.383059
-5.470,1.376501
-5.465,1.370038
-5.460,1.363670
-5.455,1.357395
-5.450,1.351210
-5.445,1.345115
-5.440,1.339109
-5.435,1.333188
-5.430,1.327353
-5.425,1.321602
-5.420,1.315933
-5.415,1.310345
-5.410,1.304837
-5.405,1.299408
-5.400,1.294055
-5.395,1.288779
-5.390,1.283577
-5.385,1.278449
-5.380,1.273394
-5.375,1.268410
-5.370,1.263496
-5.365,1.258652
-5.360,1.253876
-5.355,1.249167
-5.350,1.244524
-5.345,1.239946
-5.340,1.235433
-5.335,1.230983
-5.330,1.226596
-5.325,1.222271
-5.320,1.218006
-5.315,1.213801
-5.310,1.209655
-5.305,1.205567
-5.300,1.201537
-5.295,1.197563
-5.290,1.193646
-5.285,1.189783
-5.280,1.185975
-5.275,1.182221
-5.270,1.178520
-5.265,1.174872
-5.260,1.171275
-5.255,1.167729
-5.250,1.164233
-5.245,1.160787
-5.240,1.157391
-5.235,1.154043
-5.230,1.150743
-5.225,1.147491
-5.220,1.144285
-5.215,1.141126
-5.210,1.138012
-5.205,1.134944
-5.200,1.131920
-5.195,1.128941
-5.190,1.126005
-5.185,1.123112
-5.180,1.120263
-5.175,1.117455
-5.170,1.114690
-5.165,1.111966
-5.160,1.109282
-5.155,1.106640
-5.150,1.104037
-5.145,1.101474
-5.140,1.098951
-5.135,1.096466
-5.130,1.094020
-5.125,1.091611
-5.120,1.089241
-5.115,1.086908
-5.110,1.084612
-5.105,1.082353
-5.100,1.080130
-5.095,1.077943
-5.090,1.075792
-5.085,1.073676
-5.080,1.071595
-5.075,1.069549
-5.070,1.067537
-5.065,1.065559
-5.060,1.063616
-5.055,1.061706
-5.050,1.059829
-5.045,1.057985
-5.040,1.056174
-5.035,1.054395
-5.030,1.052649
-5.025,1.050935
-5.020,1.049252
-5.015,1.047601
-5.010,1.045982
-5.005,1.044393
-5.000,1.042835
-4.995,1.041308
-4.990,1.039811
-4.985,1.038345
-4.980,1.036908
-4.975,1.035502
-4.970,1.034125
-4.965,1.032777
-4.960,1.031459
-4.955,1.030170
-4.950,1.028909
-4.945,1.027678
-4.940,1.026475
-4.935,1.025300
-4.930,1.024154
-4.925,1.023035
-4.920,1.021945
-4.915,1.020883
-4.910,1.019848
-4.905,1.018841
-4.900,1.017861
-4.895,1.016908
-4.890,1.015983
-4.885,1.015084
-4.880,1.014213
-4.875,1.013368
-4.870,1.012550
-4.865,1.011759
-4.860,1.010994
-4.855,1.010256
-4.850,1.009544
-4.845,1.008858
-4.840,1.008198
-4.835,1.007564
-4.830,1.006956
-4.825,1.006374
-4.820,1.005818
-4.815,1.005288
-4.810,1.004783
-4.805,1.004304
-4.800,1.003850
-4.795,1.003422
-4.790,1.003019
-4.785,1.002642
-4.780,1.002290
-4.775,1.001963
-4.770,1.001662
-4.765,1.001386
-4.760,1.001134
-4.755,1.000909
-4.750,1.000708
-4.745,1.000532
-4.740,1.000381
-4.735,1.000256
-4.730,1.000155
-4.725,1.000080
-4.720,1.000029
-4.715,1.000003
-4.710,1.000003
-4.705,1.000027
-4.700,1.000077
-4.695,1.000151
-4.690,1.000251
-4.685,1.000375
-4.680,1.000525
-4.675,1.000699
-4.670,1.000899
-4.665,1.001124
-4.660,1.001374
-4.655,1.001649
-4.650,1.001949
-4.645,1.002275
-4.640,1.002626
-4.635,1.003002
-4.630,1.003404
-4.625,1.003831
-4.620,1.004283
-4.615,1.004761
-4.610,1.005265
-4.605,1.005794
-4.600,1.006349
-4.595,1.006930
-4.590,1.007537
-4.585,1.008169
-4.580,1.008828
-4.575,1.009513
-4.570,1.010224
-4.565,1.010961
-4.560,1.011725
-4.555,1.012515
-4.550,1.013332
-4.545,1.014175
-4.540,1.015045
-4.535,1.015942
-4.530,1.016867
-4.525,1.017818
-4.520,1.018797
-4.515,1.019803
-4.510,1.020836
-4.505,1.021897
-4.500,1.022986
-4.495,1.024103
-4.490,1.025248
-4.485,1.026422
-4.480,1.027624
-4.475,1.028854
-4.470,1.030113
-4.465,1.031401
-4.460,1.032718
-4.455,1.034064
-4.450,1.035440
-4.445,1.036845
-4.440,1.038280
-4.435,1.039746
-4.430,1.041241
-4.425,1.042767
-4.420,1.044323
-4.415,1.045910
-4.410,1.047529
-4.405,1.049178
-4.400,1.050859
-4.395,1.052572
-4.390,1.054317
-4.385,1.056094
-4.380,1.057904
-4.375,1.059746
-4.370,1.061622
-4.365,1.063530
-4.360,1.065472
-4.355,1.067448
