x,y
-6,0.960170
-5.995,0.958761
-5.990,0.957328
-5.985,0.955871
-5.980,0.954390
-5.975,0.952886
-5.970,0.951357
-5.965,0.949805
-5.960,0.948229
-5.955,0.946629
-5.950,0.945005
-5.945,0.943358
-5.940,0.941688
-5.935,0.939993
-5.930,0.938276
-5.925,0.936535
-5.920,0.934770
-5.915,0.932982
-5.910,0.931171
-5.905,0.929336
-5.900,0.927478
-5.895,0.925597
-5.890,0.923693
-5.885,0.921766
-5.880,0.919816
-5.875,0.917843
-5.870,0.915846
-5.865,0.913827
-5.860,0.911785
-5.855,0.909721
-5.850,0.907633
-5.845,0.905523
-5.840,0.903390
-5.835,0.901235
-5.830,0.899057
-5.825,0.896857
-5.820,0.894634
-5.815,0.892389
-5.810,0.890121
-5.805,0.887831
-5.800,0.885520
-5.795,0.883185
-5.790,0.880829
-5.785,0.878451
-5.780,0.876051
-5.775,0.873629
-5.770,0.871185
-5.765,0.868719
-5.760,0.866232
-5.755,0.863723
-5.750,0.861192
-5.745,0.858640
-5.740,0.856067
-5.735,0.853472
-5.730,0.850855
-5.725,0.848218
-5.720,0.845559
-5.715,0.842879
-5.710,0.840178
-5.705,0.837456
-5.700,0.834713
-5.695,0.831949
-5.690,0.829164
-5.685,0.826359
-5.680,0.823533
-5.675,0.820686
-5.670,0.817819
-5.665,0.814932
-5.660,0.812024
-5.655,0.809095
-5.650,0.806147
-5.645,0.803178
-5.640,0.800189
-5.635,0.797181
-5.630,0.794152
-5.625,0.791104
-5.620,0.788035
-5.615,0.784947
-5.610,0.781840
-5.605,0.778712
-5.600,0.775566
-5.595,0.772400
-5.590,0.769215
-5.585,0.766010
-5.580,0.762786
-5.575,0.759543
-5.570,0.756282
-5.565,0.753001
-5.560,0.749702
-5.555,0.746383
-5.550,0.743046
-5.545,0.739691
-5.540,0.736317
-5.535,0.732925
-5.530,0.729514
-5.525,0.726085
-5.520,0.722638
-5.515,0.719173
-5.510,0.715690
-5.505,0.712189
-5.500,0.708670
-5.495,0.705133
-5.490,0.701579
-5.485,0.698007
-5.480,0.694418
-5.475,0.690812
-5.470,0.687188
-5.465,0.683547
-5.460,0.679889
-5.455,0.676214
-5.450,0.672522
-5.445,0.668813
-5.440,0.665088
-5.435,0.661345
-5.430,0.657587
-5.425,0.653812
-5.420,0.650020
-5.415,0.646212
-5.410,0.642389
-5.405,0.638549
-5.400,0.634693
-5.395,0.630821
-5.390,0.626934
-5.385,0.623030
-5.380,0.619112
-5.375,0.615177
-5.370,0.611228
-5.365,0.607263
-5.360,0.603283
-5.355,0.599288
-5.350,0.595278
-5.345,0.591253
-5.340,0.587213
-5.335,0.583158
-5.330,0.579089
-5.325,0.575006
-5.320,0.570908
-5.315,0.566795
-5.310,0.562669
-5.305,0.558529
-5.300,0.554374
-5.295,0.550206
-5.290,0.546024
-5.285,0.541828
-5.280,0.537619
-5.275,0.533397
-5.270,0.529161
-5.265,0.524911
-5.260,0.520649
-5.255,0.516374
-5.250,0.512085
-5.245,0.507784
-5.240,0.503471
-5.235,0.499144
-5.230,0.494805
-5.225,0.490454
-5.220,0.486091
-5.215,0.481715
-5.210,0.477328
-5.205,0.472928
-5.200,0.468517
-5.195,0.464094
-5.190,0.459659
-5.185,0.455213
-5.180,0.450755
-5.175,0.446286
-5.170,0.441806
-5.165,0.437315
-5.160,0.432813
-5.155,0.428300
-5.150,0.423777
-5.145,0.419243
-5.140,0.414698
-5.135,0.410143
-5.130,0.405578
-5.125,0.401003
-5.120,0.396417
-5.115,0.391822
-5.110,0.387217
-5.105,0.382602
-5.100,0.377978
-5.095,0.373344
-5.090,0.368701
-5.085,0.364048
-5.080,0.359387
-5.075,0.354717
-5.070,0.350037
-5.065,0.345349
-5.060,0.340653
-5.055,0.335947
-5.050,0.331234
-5.045,0.326512
-5.040,0.321782
-5.035,0.317044
-5.030,0.312298
-5.025,0.307544
-5.020,0.302783
-5.015,0.298014
-5.010,0.293237
-5.005,0.288453
-5.000,0.283662
-4.995,0.278864
-4.990,0.274059
-4.985,0.269247
-4.980,0.264428
-4.975,0.259603
-4.970,0.254771
-4.965,0.249933
-4.960,0.245089
-4.955,0.240238
-4.950,0.235381
-4.945,0.230519
-4.940,0.225651
-4.935,0.220777
-4.930,0.215898
-4.925,0.211013
-4.920,0.206123
-4.915,0.201228
-4.910,0.196327
-4.905,0.191422
-4.900,0.186512
-4.895,0.181598
-4.890,0.176679
-4.885,0.171755
-4.880,0.166827
-4.875,0.161895
-4.870,0.156959
-4.865,0.152019
-4.860,0.147076
-4.855,0.142128
-4.850,0.137177
-4.845,0.132223
-4.840,0.127265
-4.835,0.122304
-4.830,0.117340
-4.825,0.112373
-4.820,0.107403
-4.815,0.102431
-4.810,0.097456
-4.805,0.092479
-4.800,0.087499
-4.795,0.082517
-4.790,0.077533
-4.785,0.072547
-4.780,0.067559
-4.775,0.062570
-4.770,0.057579
-4.765,0.052587
-4.760,0.047593
-4.755,0.042598
-4.750,0.037602
-4.745,0.032605
-4.740,0.027607
-4.735,0.022609
-4.730,0.017610
-4.725,0.012611
-4.720,0.007611
-4.715,0.002611
-4.710,-0.002389
-4.705,-0.007389
-4.700,-0.012389
-4.695,-0.017388
-4.690,-0.022387
-4.685,-0.027386
-4.680,-0.032383
