x,y
-6,3.436353
-5.995,3.373392
-5.990,3.312519
-5.985,3.253630
-5.980,3.196626
-5.975,3.141416
-5.970,3.087914
-5.965,3.036038
-5.960,2.985714
-5.955,2.936870
-5.950,2.889440
-5.945,2.843361
-5.940,2.798574
-5.935,2.755023
-5.930,2.712656
-5.925,2.671422
-5.920,2.631275
-5.915,2.592172
-5.910,2.554068
-5.905,2.516926
-5.900,2.480707
-5.895,2.445375
-5.890,2.410897
-5.885,2.377241
-5.880,2.344375
-5.875,2.312270
-5.870,2.280900
-5.865,2.250237
-5.860,2.220256
-5.855,2.190933
-5.850,2.162247
-5.845,2.134173
-5.840,2.106693
-5.835,2.079785
-5.830,2.053431
-5.825,2.027613
-5.820,2.002314
-5.815,1.977515
-5.810,1.953203
-5.805,1.929360
-5.800,1.905974
-5.795,1.883028
-5.790,1.860511
-5.785,1.838409
-5.780,1.816710
-5.775,1.795401
-5.770,1.774471
-5.765,1.753910
-5.760,1.733706
-5.755,1.713849
-5.750,1.694330
-5.745,1.675139
-5.740,1.656266
-5.735,1.637703
-5.730,1.619442
-5.725,1.601475
-5.720,1.583793
-5.715,1.566388
-5.710,1.549255
-5.705,1.532384
-5.700,1.515770
-5.695,1.499406
-5.690,1.483286
-5.685,1.467403
-5.680,1.451751
-5.675,1.436325
-5.670,1.421119
-5.665,1.406128
-5.660,1.391346
-5.655,1.376768
-5.650,1.362389
-5.645,1.348205
-5.640,1.334211
-5.635,1.320402
-5.630,1.306775
-5.625,1.293324
-5.620,1.280047
-5.615,1.266938
-5.610,1.253994
-5.605,1.241212
-5.600,1.228587
-5.595,1.216116
-5.590,1.203796
-5.585,1.191624
-5.580,1.179596
-5.575,1.167708
-5.570,1.155959
-5.565,1.144345
-5.560,1.132863
-5.555,1.121510
-5.550,1.110284
-5.545,1.099182
-5.540,1.088201
-5.535,1.077339
-5.530,1.066594
-5.525,1.055962
-5.520,1.045443
-5.515,1.035032
-5.510,1.024729
-5.505,1.014531
-5.500,1.004436
-5.495,0.994441
-5.490,0.984546
-5.485,0.974747
-5.480,0.965044
-5.475,0.955434
-5.470,0.945915
-5.465,0.936485
-5.460,0.927144
-5.455,0.917889
-5.450,0.908718
-5.445,0.899631
-5.440,0.890624
-5.435,0.881698
-5.430,0.872850
-5.425,0.864079
-5.420,0.855383
-5.415,0.846762
-5.410,0.838213
-5.405,0.829735
-5.400,0.821328
-5.395,0.812989
-5.390,0.804718
-5.385,0.796513
-5.380,0.788373
-5.375,0.780297
-5.370,0.772284
-5.365,0.764333
-5.360,0.756442
-5.355,0.748610
-5.350,0.740837
-5.345,0.733121
-5.340,0.725462
-5.335,0.717858
-5.330,0.710309
-5.325,0.702812
-5.320,0.695369
-5.315,0.687977
-5.310,0.680635
-5.305,0.673344
-5.300,0.666101
-5.295,0.658907
-5.290,0.651759
-5.285,0.644658
-5.280,0.637603
-5.275,0.630593
-5.270,0.623626
-5.265,0.616703
-5.260,0.609823
-5.255,0.602984
-5.250,0.596187
-5.245,0.589430
-5.240,0.582712
-5.235,0.576034
-5.230,0.569394
-5.225,0.562792
-5.220,0.556226
-5.215,0.549698
-5.210,0.543205
-5.205,0.536747
-5.200,0.530323
-5.195,0.523934
-5.190,0.517578
-5.185,0.511255
-5.180,0.504964
-5.175,0.498705
-5.170,0.492477
-5.165,0.486279
-5.160,0.480112
-5.155,0.473974
-5.150,0.467865
-5.145,0.461785
-5.140,0.455733
-5.135,0.449708
-5.130,0.443710
-5.125,0.437739
-5.120,0.431794
-5.115,0.425874
-5.110,0.419980
-5.105,0.414110
-5.100,0.408265
-5.095,0.402443
-5.090,0.396645
-5.085,0.390870
-5.080,0.385117
-5.075,0.379387
-5.070,0.373678
-5.065,0.367990
-5.060,0.362324
-5.055,0.356677
-5.050,0.351051
-5.045,0.345445
-5.040,0.339858
-5.035,0.334290
-5.030,0.328740
-5.025,0.323209
-5.020,0.317695
-5.015,0.312199
-5.010,0.306721
-5.005,0.301259
-5.000,0.295813
-4.995,0.290383
-4.990,0.284970
-4.985,0.279571
-4.980,0.274188
-4.975,0.268819
-4.970,0.263465
-4.965,0.258125
-4.960,0.252799
-4.955,0.247486
-4.950,0.242186
-4.945,0.236899
-4.940,0.231625
-4.935,0.226363
-4.930,0.221112
-4.925,0.215874
-4.920,0.210646
-4.915,0.205430
-4.910,0.200224
-4.905,0.195029
-4.900,0.189844
-4.895,0.184668
-4.890,0.179503
-4.885,0.174346
-4.880,0.169198
-4.875,0.164060
-4.870,0.158929
-4.865,0.153807
-4.860,0.148693
-4.855,0.143586
-4.850,0.138486
-4.845,0.133394
-4.840,0.128308
-4.835,0.123229
-4.830,0.118156
-4.825,0.113089
-4.820,0.108028
-4.815,0.102973
-4.810,0.097922
-4.805,0.092877
-4.800,0.087836
-4.795,0.082799
-4.790,0.077767
-4.785,0.072739
-4.780,0.067714
-4.775,0.062693
-4.770,0.057675
-4.765,0.052660
-4.760,0.047647
-4.755,0.042637
-4.750,0.037629
-4.745,0.032623
-4.740,0.027618
-4.735,0.022615
-4.730,0.017613
-4.725,0.012612
-4.720,0.007611
-4.715,0.002611
-4.710,-0.002389
-4.705,-0.007389
-4.700,-0.012390
-4.695,-0.017391
-4.690,-0.022393
-4.685,-0.027396
-4.680,-0.032400
-4.675,-0.037406
-4.670,-0.042414
-4.665,-0.047424
-4.660,-0.052437
-4.655,-0.057452
-4.650,-0.062470
-4.645,-0.067491
-4.640,-0.072516
-4.635,-0.077544
-4.630,-0.082576
-4.625,-0.087612
-4.620,-0.092653
-4.615,-0.097698
-4.610,-0.102748
-4.605,-0.107804
-4.600,-0.112865
-4.595,-0.117931
-4.590,-0.123004
-4.585,-0.128083
-4.580,-0.133168
-4.575,-0.138260
-4.570,-0.143359
-4.565,-0.148466
-4.560,-0.153580
-4.555,-0.158702
-4.550,-0.163832
-4.545,-0.168970
-4.540,-0.174117
-4.535,-0.179273
-4.530,-0.184439
-4.525,-0.189614
-4.520,-0.194798
-4.515,-0.199993
-4.510,-0.205198
-4.505,-0.210414
-4.500,-0.215641
-4.495,-0.220879
-4.490,-0.226129
-4.485,-0.231391
-4.480,-0.236665
-4.475,-0.241951
-4.470,-0.247250
-4.465,-0.252563
-4.460,-0.257888
-4.455,-0.263228
-4.450,-0.268581
-4.445,-0.273949
-4.440,-0.279332
-4.435,-0.284730
-4.430,-0.290143
-4.425,-0.295571
-4.420,-0.301016
-4.415,-0.306478
-4.410,-0.311956
-4.405,-0.317451
-4.400,-0.322964
-4.395,-0.328494
-4.390,-0.334043
-4.385,-0.339610
-4.380,-0.345196
-4.375,-0.350802
-4.370,-0.356427
-4.365,-0.362072
-4.360,-0.367738
-4.355,-0.373425
-4.350,-0.379133
-4.345,-0.384862
-4.340,-0.390614
-4.335,-0.396388
-4.330,-0.402185
-4.325,-0.408006
-4.320,-0.413850
-4.315,-0.419719
-4.310,-0.425612
-4.305,-0.431530
-4.300,-0.437474
-4.295,-0.443444
-4.290,-0.449441
-4.285,-0.455465
-4.280,-0.461516
-4.275,-0.467595
-4.270,-0.473702
-4.265,-0.479839
-4.260,-0.486005
-4.255,-0.492201
-4.250,-0.498428
-4.245,-0.504686
-4.240,-0.510975
-4.235,-0.517297
-4.230,-0.523651
-4.225,-0.530039
-4.220,-0.536461
-4.215,-0.542917
-4.210,-0.549409
-4.205,-0.555936
-4.200,-0.562499
-4.195,-0.569100
-4.190,-0.575738
-4.185,-0.582415
-4.180,-0.589131
-4.175,-0.595886
-4.170,-0.602682
-4.165,-0.609518
-4.160,-0.616397
-4.155,-0.623318
-4.150,-0.630283
-4.145,-0.637291
-4.140,-0.644344
-4.135,-0.651443
-4.130,-0.658588
-4.125,-0.665781
-4.120,-0.673021
-4.115,-0.680311
-4.110,-0.687650
-4.105,-0.695039
-4.100,-0.702481
-4.095,-0.709975
-4.090,-0.717522
-4.085,-0.725123
-4.080,-0.732780
-4.075,-0.740493
-4.070,-0.748264
-4.065,-0.756093
-4.060,-0.763981
-4.055,-0.771930
-4.050,-0.779940
-4.045,-0.788013
-4.040,-0.796150
-4.035,-0.804352
-4.030,-0.812620
-4.025,-0.820956
-4.020,-0.829360
-4.015,-0.837835
-4.010,-0.846380
-4.005,-0.854999
-4.000,-0.863691
-3.995,-0.872459
-3.990,-0.881303
-3.985,-0.890226
-3.980,-0.899229
-3.975,-0.908313
-3.970,-0.917480
-3.965,-0.926731
-3.960,-0.936069
-3.955,-0.945494
-3.950,-0.955009
-3.945,-0.964615
-3.940,-0.974314
-3.935,-0.984109
-3.930,-0.994000
-3.925,-1.003990
-3.920,-1.014080
-3.915,-1.024274
-3.910,-1.034572
-3.905,-1.044978
-3.900,-1.055493
-3.895,-1.066119
-3.890,-1.076860
-3.885,-1.087716
-3.880,-1.098692
-3.875,-1.109789
-3.870,-1.121009
-3.865,-1.132356
-3.860,-1.143832
-3.855,-1.155441
-3.850,-1.167184
-3.845,-1.179065
-3.840,-1.191087
-3.835,-1.203253
-3.830,-1.215566
-3.825,-1.228030
-3.820,-1.240648
-3.815,-1.253423
-3.810,-1.266360
-3.805,-1.279461
-3.800,-1.292731
-3.795,-1.306174
-3.790,-1.319793
-3.785,-1.333594
-3.780,-1.347580
-3.775,-1.361755
-3.770,-1.376125
-3.765,-1.390694
-3.760,-1.405467
-3.755,-1.420449
-3.750,-1.435645
-3.745,-1.451062
-3.740,-1.466703
-3.735,-1.482576
-3.730,-1.498685
-3.725,-1.515038
-3.720,-1.531641
-3.715,-1.548500
-3.710,-1.565622
-3.705,-1.583014
-3.700,-1.600684
-3.695,-1.618638
-3.690,-1.636886
-3.685,-1.655435
-3.680,-1.674294
-3.675,-1.693471
-3.670,-1.712975
-3.665,-1.732817
-3.660,-1.753005
-3.655,-1.773551
-3.650,-1.794464
-3.645,-1.815755
-3.640,-1.837437
-3.635,-1.859521
-3.630,-1.882020
-3.625,-1.904945
-3.620,-1.928312
-3.615,-1.952134
-3.610,-1.976426
-3.605,-2.001202
-3.600,-2.026479
-3.595,-2.052274
-3.590,-2.078603
-3.585,-2.105486
-3.580,-2.132940
-3.575,-2.160987
-3.570,-2.189646
-3.565,-2.218940
-3.560,-2.248891
-3.555,-2.279523
-3.550,-2.310862
-3.545,-2.342933
-3.540,-2.375765
-3.535,-2.409385
-3.530,-2.443826
-3.525,-2.479119
-3.520,-2.515298
-3.515,-2.552399
-3.510,-2.590459
-3.505,-2.629517
-3.500,-2.669616
-3.495,-2.710801
-3.490,-2.753117
-3.485,-2.796614
-3.480,-2.841345
-3.475,-2.887366
-3.470,-2.934734
-3.465,-2.983514
-3.460,-3.033771
-3.455,-3.085576
-3.450,-3.139005
-3.445,-3.194137
-3.440,-3.251059
-3.435,-3.309863
-3.430,-3.370645
-3.425,-3.433511
-3.420,-3.498574
-3.415,-3.565953
-3.410,-3.635779
-3.405,-3.708190
-3.400,-3.783337
-3.395,-3.861383
-3.390,-3.942501
-3.385,-4.026881
-3.380,-4.114730
-3.375,-4.206269
-3.370,-4.301741
-3.365,-4.401410
-3.360,-4.505566
-3.355,-4.614522
-3.350,-4.728624
-3.345,-4.848253
-3.340,-4.973826
-3.335,-5.105804
-3.330,-5.244697
-3.325,-5.391071
-3.320,-5.545555
-3.315,-5.708850
-3.310,-5.881741
-3.305,-6.065110
-3.300,-6.259948
-3.295,-6.467376
-3.290,-6.688669
-3.285,-6.925275
-3.280,-7.178855
-3.275,-7.451317
-3.270,-7.744867
-3.265,-8.062068
-3.260,-8.405916
-3.255,-8.779936
-3.250,-9.188303
-3.245,-9.635999
-3.240,-10.129019
-3.235,-10.674642
-3.230,-11.281793
-3.225,-11.961536
-3.220,-12.727761
-3.215,-13.598137
-3.210,-14.595503
-3.205,-15.749902
-3.200,-17.101660
-3.195,-18.706210
-3.190,-20.641883
-3.185,-23.023104
-3.180,-26.023882
-3.175,-29.922400
-3.170,-35.192693
-3.165,-42.713828
-3.160,-54.320001
-3.155,-74.581508
-3.150,-118.940799
-3.145,-293.482424
-3.140,627.882606
-3.135,151.681804
-3.130,86.257666
-3.125,60.262106
-3.120,46.304851
-3.115,37.595507
-3.110,31.642397
-3.105,27.315691
-3.100,24.028842
-3.095,21.447078
-3.090,19.365404
-3.085,17.651270
-3.080,16.215167
-3.075,14.994467
-3.070,13.944041
-3.065,13.030542
-3.060,12.228796
-3.055,11.519445
-3.050,10.887358
-3.045,10.320537
-3.040,9.809344
-3.035,9.345952
-3.030,8.923935
-3.025,8.537970
-3.020,8.183610
-3.015,7.857110
-3.010,7.555293
-3.005,7.275450
-3.000,7.015253
-2.995,6.772690
-2.990,6.546017
-2.985,6.333713
-2.980,6.134442
-2.975,5.947032
-2.970,5.770445
-2.965,5.603763
-2.960,5.446166
-2.955,5.296925
-2.950,5.155386
-2.945,5.020960
-2.940,4.893118
-2.935,4.771382
-2.930,4.655320
-2.925,4.544537
-2.920,4.438678
-2.915,4.337415
-2.910,4.240451
-2.905,4.147514
-2.900,4.058353
-2.895,3.972738
-2.890,3.890459
-2.885,3.811319
-2.880,3.735139
-2.875,3.661753
-2.870,3.591005
-2.865,3.522754
-2.860,3.456865
-2.855,3.393215
-2.850,3.331689
-2.845,3.272179
-2.840,3.214585
-2.835,3.158813
-2.830,3.104776
-2.825,3.052390
-2.820,3.001580
-2.815,2.952272
-2.810,2.904399
-2.805,2.857896
-2.800,2.812703
-2.795,2.768765
-2.790,2.726026
-2.785,2.684436
-2.780,2.643948
-2.775,2.604517
-2.770,2.566099
-2.765,2.528655
-2.760,2.492146
-2.755,2.456535
-2.750,2.421789
-2.745,2.387874
-2.740,2.354759
-2.735,2.322415
-2.730,2.290814
-2.725,2.259928
-2.720,2.229733
-2.715,2.200203
-2.710,2.171317
-2.705,2.143050
-2.700,2.115383
-2.695,2.088295
-2.690,2.061767
-2.685,2.035780
-2.680,2.010317
-2.675,1.985361
-2.670,1.960895
-2.665,1.936905
-2.660,1.913374
-2.655,1.890290
-2.650,1.867638
-2.645,1.845405
-2.640,1.823579
-2.635,1.802147
-2.630,1.781098
-2.625,1.760420
-2.620,1.740103
-2.615,1.720137
-2.610,1.700511
-2.605,1.681217
-2.600,1.662243
-2.595,1.643583
-2.590,1.625227
-2.585,1.607167
-2.580,1.589394
-2.575,1.571902
-2.570,1.554683
-2.565,1.537730
-2.560,1.521035
-2.555,1.504592
-2.550,1.488395
-2.545,1.472437
-2.540,1.456712
-2.535,1.441215
-2.530,1.425939
-2.525,1.410880
-2.520,1.396032
-2.515,1.381389
-2.510,1.366948
-2.505,1.352702
-2.500,1.338648
-2.495,1.324781
-2.490,1.311096
-2.485,1.297590
-2.480,1.284257
-2.475,1.271095
-2.470,1.258099
-2.465,1.245266
-2.460,1.232591
-2.455,1.220072
-2.450,1.207704
-2.445,1.195485
-2.440,1.183412
-2.435,1.171480
-2.430,1.159687
-2.425,1.148030
-2.420,1.136506
-2.415,1.125113
-2.410,1.113846
-2.405,1.102705
-2.400,1.091686
-2.395,1.080787
-2.390,1.070004
-2.385,1.059337
-2.380,1.048782
-2.375,1.038336
-2.370,1.027999
-2.365,1.017768
-2.360,1.007640
-2.355,0.997614
-2.350,0.987687
-2.345,0.977858
-2.340,0.968124
-2.335,0.958485
-2.330,0.948937
-2.325,0.939479
-2.320,0.930110
-2.315,0.920828
-2.310,0.911630
-2.305,0.902516
-2.300,0.893484
-2.295,0.884533
-2.290,0.875660
-2.285,0.866865
-2.280,0.858145
-2.275,0.849500
-2.270,0.840928
-2.265,0.832428
-2.260,0.823998
-2.255,0.815638
-2.250,0.807345
-2.245,0.799119
-2.240,0.790959
-2.235,0.782863
-2.230,0.774830
-2.225,0.766859
-2.220,0.758949
-2.215,0.751098
-2.210,0.743307
-2.205,0.735573
-2.200,0.727896
-2.195,0.720274
-2.190,0.712708
-2.185,0.705194
-2.180,0.697734
-2.175,0.690326
-2.170,0.682968
-2.165,0.675661
-2.160,0.668403
-2.155,0.661193
-2.150,0.654031
-2.145,0.646915
-2.140,0.639846
-2.135,0.632821
-2.130,0.625841
-2.125,0.618904
-2.120,0.612010
-2.115,0.605158
-2.110,0.598348
-2.105,0.591578
-2.100,0.584848
-2.095,0.578157
-2.090,0.571505
-2.085,0.564891
-2.080,0.558314
-2.075,0.551773
-2.070,0.545269
-2.065,0.538800
-2.060,0.532366
-2.055,0.525966
-2.050,0.519599
-2.045,0.513266
-2.040,0.506965
-2.035,0.500695
-2.030,0.494457
-2.025,0.488250
-2.020,0.482073
-2.015,0.475926
-2.010,0.469808
-2.005,0.463719
-2.000,0.457658
-1.995,0.451624
-1.990,0.445618
-1.985,0.439638
-1.980,0.433685
-1.975,0.427757
-1.970,0.421855
-1.965,0.415977
-1.960,0.410124
-1.955,0.404295
-1.950,0.398490
-1.945,0.392707
-1.940,0.386947
-1.935,0.381210
-1.930,0.375494
-1.925,0.369800
-1.920,0.364126
-1.915,0.358474
-1.910,0.352841
-1.905,0.347229
-1.900,0.341635
-1.895,0.336061
-1.890,0.330506
-1.885,0.324969
-1.880,0.319450
-1.875,0.313948
-1.870,0.308464
-1.865,0.302997
-1.860,0.297546
-1.855,0.292111
-1.850,0.286692
-1.845,0.281289
-1.840,0.275901
-1.835,0.270528
-1.830,0.265169
-1.825,0.259825
-1.820,0.254494
-1.815,0.249177
-1.810,0.243873
-1.805,0.238582
-1.800,0.233304
-1.795,0.228037
-1.790,0.222783
-1.785,0.217541
-1.780,0.212310
-1.775,0.207090
-1.770,0.201881
-1.765,0.196683
-1.760,0.191494
-1.755,0.186316
-1.750,0.181147
-1.745,0.175988
-1.740,0.170837
-1.735,0.165696
-1.730,0.160562
-1.725,0.155438
-1.720,0.150321
-1.715,0.145212
-1.710,0.140110
-1.705,0.135015
-1.700,0.129927
-1.695,0.124846
-1.690,0.119772
-1.685,0.114703
-1.680,0.109640
-1.675,0.104582
-1.670,0.099530
-1.665,0.094483
-1.660,0.089441
-1.655,0.084403
-1.650,0.079370
-1.645,0.074340
-1.640,0.069314
-1.635,0.064292
-1.630,0.059273
-1.625,0.054257
-1.620,0.049243
-1.615,0.044232
-1.610,0.039224
-1.605,0.034217
-1.600,0.029212
-1.595,0.024208
-1.590,0.019206
-1.585,0.014205
-1.580,0.009204
-1.575,0.004204
-1.570,-0.000796
-1.565,-0.005796
-1.560,-0.010797
-1.555,-0.015798
-1.550,-0.020799
-1.545,-0.025802
-1.540,-0.030806
-1.535,-0.035812
-1.530,-0.040819
-1.525,-0.045828
-1.520,-0.050840
-1.515,-0.055854
-1.510,-0.060871
-1.505,-0.065891
-1.500,-0.070915
-1.495,-0.075942
-1.490,-0.080973
-1.485,-0.086007
-1.480,-0.091047
-1.475,-0.096090
-1.470,-0.101139
-1.465,-0.106193
-1.460,-0.111252
-1.455,-0.116317
-1.450,-0.121387
-1.445,-0.126464
-1.440,-0.131547
-1.435,-0.136637
-1.430,-0.141734
-1.425,-0.146838
-1.420,-0.151950
-1.415,-0.157069
-1.410,-0.162197
-1.405,-0.167332
-1.400,-0.172477
-1.395,-0.177630
-1.390,-0.182792
-1.385,-0.187964
-1.380,-0.193146
-1.375,-0.198337
-1.370,-0.203539
-1.365,-0.208752
-1.360,-0.213975
-1.355,-0.219210
-1.350,-0.224456
-1.345,-0.229714
-1.340,-0.234984
-1.335,-0.240266
-1.330,-0.245561
-1.325,-0.250869
-1.320,-0.256190
-1.315,-0.261525
-1.310,-0.266874
-1.305,-0.272238
-1.300,-0.277616
-1.295,-0.283009
-1.290,-0.288417
-1.285,-0.293840
-1.280,-0.299280
-1.275,-0.304736
-1.270,-0.310209
-1.265,-0.315699
-1.260,-0.321206
-1.255,-0.326731
-1.250,-0.332273
-1.245,-0.337835
-1.240,-0.343415
-1.235,-0.349014
-1.230,-0.354633
-1.225,-0.360272
-1.220,-0.365931
-1.215,-0.371611
-1.210,-0.377312
-1.205,-0.383035
-1.200,-0.388780
-1.195,-0.394547
-1.190,-0.400336
-1.185,-0.406149
-1.180,-0.411986
-1.175,-0.417847
-1.170,-0.423732
-1.165,-0.429643
-1.160,-0.435578
-1.155,-0.441540
-1.150,-0.447528
-1.145,-0.453543
-1.140,-0.459585
-1.135,-0.465655
-1.130,-0.471754
-1.125,-0.477881
-1.120,-0.484038
-1.115,-0.490224
-1.110,-0.496441
-1.105,-0.502689
-1.100,-0.508968
-1.095,-0.515279
-1.090,-0.521623
-1.085,-0.528001
-1.080,-0.534411
-1.075,-0.540857
-1.070,-0.547337
-1.065,-0.553853
-1.060,-0.560405
-1.055,-0.566993
-1.050,-0.573620
-1.045,-0.580284
-1.040,-0.586987
-1.035,-0.593730
-1.030,-0.600513
-1.025,-0.607336
-1.020,-0.614201
-1.015,-0.621109
-1.010,-0.628059
-1.005,-0.635054
-1.000,-0.642093
-0.995,-0.649177
-0.990,-0.656307
-0.985,-0.663484
-0.980,-0.670710
-0.975,-0.677983
-0.970,-0.685306
-0.965,-0.692680
-0.960,-0.700105
-0.955,-0.707582
-0.950,-0.715112
-0.945,-0.722696
-0.940,-0.730335
-0.935,-0.738030
-0.930,-0.745782
-0.925,-0.753592
-0.920,-0.761462
-0.915,-0.769391
-0.910,-0.777382
-0.905,-0.785435
