x,y
-6,0.279415
-5.995,0.284213
-5.990,0.289003
-5.985,0.293786
-5.980,0.298562
-5.975,0.303330
-5.970,0.308091
-5.965,0.312843
-5.960,0.317589
-5.955,0.322326
-5.950,0.327055
-5.945,0.331776
-5.940,0.336488
-5.935,0.341193
-5.930,0.345888
-5.925,0.350575
-5.920,0.355254
-5.915,0.359923
-5.910,0.364583
-5.905,0.369235
-5.900,0.373877
-5.895,0.378509
-5.890,0.383133
-5.885,0.387746
-5.880,0.392350
-5.875,0.396944
-5.870,0.401529
-5.865,0.406103
-5.860,0.410667
-5.855,0.415221
-5.850,0.419764
-5.845,0.424297
-5.840,0.428819
-5.835,0.433331
-5.830,0.437832
-5.825,0.442321
-5.820,0.446800
-5.815,0.451268
-5.810,0.455724
-5.805,0.460169
-5.800,0.464602
-5.795,0.469024
-5.790,0.473434
-5.785,0.477832
-5.780,0.482218
-5.775,0.486593
-5.770,0.490955
-5.765,0.495304
-5.760,0.499642
-5.755,0.503967
-5.750,0.508279
-5.745,0.512579
-5.740,0.516865
-5.735,0.521139
-5.730,0.525400
-5.725,0.529648
-5.720,0.533882
-5.715,0.538103
-5.710,0.542311
-5.705,0.546505
-5.700,0.550686
-5.695,0.554852
-5.690,0.559005
-5.685,0.563144
-5.680,0.567269
-5.675,0.571379
-5.670,0.575475
-5.665,0.579557
-5.660,0.583625
-5.655,0.587677
-5.650,0.591716
-5.645,0.595739
-5.640,0.599747
-5.635,0.603741
-5.630,0.607719
-5.625,0.611682
-5.620,0.615630
-5.615,0.619563
-5.610,0.623480
-5.605,0.627381
-5.600,0.631267
-5.595,0.635137
-5.590,0.638991
-5.585,0.642829
-5.580,0.646651
-5.575,0.650457
-5.570,0.654246
-5.565,0.658019
-5.560,0.661776
-5.555,0.665516
-5.550,0.669240
-5.545,0.672947
-5.540,0.676637
-5.535,0.680310
-5.530,0.683966
-5.525,0.687605
-5.520,0.691227
-5.515,0.694831
-5.510,0.698418
-5.505,0.701988
-5.500,0.705540
-5.495,0.709075
-5.490,0.712592
-5.485,0.716091
-5.480,0.719572
-5.475,0.723035
-5.470,0.726480
-5.465,0.729907
-5.460,0.733315
-5.455,0.736705
-5.450,0.740077
-5.445,0.743431
-5.440,0.746765
-5.435,0.750082
-5.430,0.753379
-5.425,0.756657
-5.420,0.759917
-5.415,0.763158
-5.410,0.766379
-5.405,0.769581
-5.400,0.772764
-5.395,0.775928
-5.390,0.779073
-5.385,0.782198
-5.380,0.785303
-5.375,0.788389
-5.370,0.791455
-5.365,0.794501
-5.360,0.797527
-5.355,0.800534
-5.350,0.803520
-5.345,0.806486
-5.340,0.809433
-5.335,0.812359
-5.330,0.815264
-5.325,0.818149
-5.320,0.821014
-5.315,0.823859
-5.310,0.826682
-5.305,0.829485
-5.300,0.832267
-5.295,0.835029
-5.290,0.837769
-5.285,0.840489
-5.280,0.843188
-5.275,0.845865
-5.270,0.848522
-5.265,0.851157
-5.260,0.853771
-5.255,0.856363
-5.250,0.858934
-5.245,0.861484
-5.240,0.864012
-5.235,0.866519
-5.230,0.869004
-5.225,0.871467
-5.220,0.873908
-5.215,0.876328
-5.210,0.878725
-5.205,0.881101
-5.200,0.883455
-5.195,0.885786
-5.190,0.888096
-5.185,0.890383
-5.180,0.892648
-5.175,0.894890
-5.170,0.897111
-5.165,0.899308
-5.160,0.901484
-5.155,0.903636
-5.150,0.905767
-5.145,0.907874
-5.140,0.909959
-5.135,0.912021
-5.130,0.914060
-5.125,0.916077
-5.120,0.918070
-5.115,0.920041
-5.110,0.921989
-5.105,0.923913
-5.100,0.925815
-5.095,0.927693
-5.090,0.929548
-5.085,0.931380
-5.080,0.933189
-5.075,0.934974
-5.070,0.936736
-5.065,0.938474
-5.060,0.940189
-5.055,0.941881
-5.050,0.943549
-5.045,0.945193
-5.040,0.946814
-5.035,0.948411
-5.030,0.949984
-5.025,0.951534
-5.020,0.953060
