x,y
-6,0.291006
-5.995,0.296438
-5.990,0.301885
-5.985,0.307349
-5.980,0.312830
-5.975,0.318328
-5.970,0.323843
-5.965,0.329377
-5.960,0.334928
-5.955,0.340499
-5.950,0.346088
-5.945,0.351696
-5.940,0.357325
-5.935,0.362973
-5.930,0.368642
-5.925,0.374332
-5.920,0.380044
-5.915,0.385777
-5.910,0.391532
-5.905,0.397310
-5.900,0.403111
-5.895,0.408935
-5.890,0.414783
-5.885,0.420656
-5.880,0.426553
-5.875,0.432475
-5.870,0.438423
-5.865,0.444398
-5.860,0.450399
-5.855,0.456426
-5.850,0.462482
-5.845,0.468566
-5.840,0.474678
-5.835,0.480819
-5.830,0.486990
-5.825,0.493191
-5.820,0.499422
-5.815,0.505685
-5.810,0.511980
-5.805,0.518306
-5.800,0.524666
-5.795,0.531059
-5.790,0.537487
-5.785,0.543949
-5.780,0.550446
-5.775,0.556979
-5.770,0.563548
-5.765,0.570155
-5.760,0.576799
-5.755,0.583482
-5.750,0.590204
-5.745,0.596966
-5.740,0.603768
-5.735,0.610611
-5.730,0.617496
-5.725,0.624424
-5.720,0.631396
-5.715,0.638411
-5.710,0.645472
-5.705,0.652578
-5.700,0.659731
-5.695,0.666931
-5.690,0.674179
-5.685,0.681476
-5.680,0.688823
-5.675,0.696221
-5.670,0.703671
-5.665,0.711173
-5.660,0.718729
-5.655,0.726339
-5.650,0.734005
-5.645,0.741727
-5.640,0.749507
-5.635,0.757345
-5.630,0.765243
-5.625,0.773201
-5.620,0.781222
-5.615,0.789305
-5.610,0.797452
-5.605,0.805664
-5.600,0.813943
-5.595,0.822290
-5.590,0.830705
-5.585,0.839191
-5.580,0.847748
-5.575,0.856378
-5.570,0.865082
-5.565,0.873862
-5.560,0.882719
-5.555,0.891655
-5.550,0.900670
-5.545,0.909767
-5.540,0.918948
-5.535,0.928213
-5.530,0.937564
-5.525,0.947003
-5.520,0.956533
-5.515,0.966154
-5.510,0.975868
-5.505,0.985677
-5.500,0.995584
-5.495,1.005590
-5.490,1.015697
-5.485,1.025907
-5.480,1.036222
-5.475,1.046645
-5.470,1.057178
-5.465,1.067822
-5.460,1.078581
-5.455,1.089456
-5.450,1.100451
-5.445,1.111567
-5.440,1.122808
-5.435,1.134175
-5.430,1.145672
-5.425,1.157302
-5.420,1.169067
-5.415,1.180970
-5.410,1.193015
-5.405,1.205204
-5.400,1.217541
-5.395,1.230029
-5.390,1.242672
-5.385,1.255473
-5.380,1.268435
-5.375,1.281563
-5.370,1.294860
-5.365,1.308331
-5.360,1.321979
-5.355,1.335809
-5.350,1.349824
-5.345,1.364031
-5.340,1.378432
-5.335,1.393033
-5.330,1.407839
-5.325,1.422855
-5.320,1.438086
-5.315,1.453537
-5.310,1.469215
-5.305,1.485125
-5.300,1.501273
-5.295,1.517666
-5.290,1.534309
-5.285,1.551209
-5.280,1.568373
-5.275,1.585809
-5.270,1.603524
-5.265,1.621525
-5.260,1.639820
-5.255,1.658418
-5.250,1.677326
-5.245,1.696555
-5.240,1.716113
-5.235,1.736009
-5.230,1.756253
-5.225,1.776856
-5.220,1.797829
-5.215,1.819182
-5.210,1.840927
-5.205,1.863076
-5.200,1.885642
-5.195,1.908637
-5.190,1.932075
-5.185,1.955971
-5.180,1.980339
-5.175,2.005194
-5.170,2.030552
-5.165,2.056431
-5.160,2.082847
-5.155,2.109820
-5.150,2.137367
-5.145,2.165510
-5.140,2.194269
